album_name,track_name,artist,valence,energy,acousticness,liveness,loudness
Fearless (Taylor's Version),You Belong With Me (Taylor's Version),Taylor Swift,0.474,0.773,0.0623,0.0885,-4.856
Fearless (Taylor's Version),Breathe (Taylor's Version),Taylor Swift,0.321,0.626,0.156,0.228,-6.066
Fearless (Taylor's Version),Tell Me Why (Taylor's Version),Taylor Swift,0.541,0.909,0.0222,0.333,-3.669
Fearless (Taylor's Version),You're Not Sorry (Taylor's Version),Taylor Swift,0.241,0.444,0.0538,0.123,-4.99
Fearless (Taylor's Version),The Way I Loved You (Taylor's Version),Taylor Swift,0.472,0.732,0.0033,0.108,-4.665
Fearless (Taylor's Version),Forever & Always (Taylor's Version),Taylor Swift,0.673,0.821,0.0231,0.143,-4.433
Fearless (Taylor's Version),The Best Day (Taylor's Version),Taylor Swift,0.469,0.576,0.488,0.159,-8.524
Fearless (Taylor's Version),Change (Taylor's Version),Taylor Swift,0.344,0.815,0.000191,0.181,-4.063
Fearless (Taylor's Version),Jump Then Fall (Taylor's Version),Taylor Swift,0.624,0.69,0.0474,0.0897,-6.201
Fearless (Taylor's Version),Untouchable (Taylor's Version),Taylor Swift,0.224,0.531,0.0181,0.169,-6.112
Fearless (Taylor's Version),Forever & Always (Piano Version) [Taylor's Version],Taylor Swift,0.271,0.273,0.819,0.137,-9.208
Fearless (Taylor's Version),Come In With The Rain (Taylor's Version),Taylor Swift,0.167,0.564,0.0406,0.102,-5.677
Fearless (Taylor's Version),SuperStar (Taylor's Version),Taylor Swift,0.171,0.555,0.157,0.343,-6.69
Fearless (Taylor's Version),The Other Side Of The Door (Taylor's Version),Taylor Swift,0.629,0.873,0.0279,0.167,-4.367
Fearless (Taylor's Version),Today Was A Fairytale (Taylor's Version),Taylor Swift,0.328,0.779,0.0135,0.296,-5.025
Fearless (Taylor's Version),You All Over Me (Taylor's Version) [From The Vault],Taylor Swift,0.44,0.494,0.816,0.101,-7.61
Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor's Version) [From The Vault],Taylor Swift,0.714,0.817,0.162,0.0667,-6.269
Fearless (Taylor's Version),We Were Happy (Taylor's Version) [From The Vault],Taylor Swift,0.13,0.373,0.849,0.0779,-8.819
Fearless (Taylor's Version),That's When (Taylor's Version) [From The Vault],Taylor Swift,0.508,0.608,0.225,0.092,-7.062
Fearless (Taylor's Version),Don't You (Taylor's Version) [From The Vault],Taylor Swift,0.405,0.473,0.514,0.109,-11.548
Fearless (Taylor's Version),Bye Bye Baby (Taylor's Version) [From The Vault],Taylor Swift,0.527,0.624,0.334,0.0995,-7.86
Speak Now,Mine,Taylor Swift,0.658,0.757,0.00265,0.189,-2.94
Speak Now,Sparks Fly,Taylor Swift,0.374,0.787,0.0396,0.163,-3.002
Speak Now,Back To December,Taylor Swift,0.286,0.67,0.117,0.334,-4.663
Speak Now,Speak Now,Taylor Swift,0.735,0.599,0.095,0.0973,-3.734
Speak Now,Dear John,Taylor Swift,0.102,0.47,0.166,0.112,-5.32
Speak Now,Mean,Taylor Swift,0.789,0.761,0.452,0.217,-3.987
Speak Now,The Story Of Us,Taylor Swift,0.683,0.818,0.00478,0.0357,-3.611
Speak Now,Never Grow Up,Taylor Swift,0.554,0.305,0.819,0.174,-8.837
Speak Now,Enchanted,Taylor Swift,0.208,0.623,0.0739,0.146,-3.878
Speak Now,Better Than Revenge,Taylor Swift,0.635,0.917,0.0139,0.36,-3.186
Speak Now,Innocent,Taylor Swift,0.17,0.608,0.186,0.125,-5.29
Speak Now,Haunted,Taylor Swift,0.352,0.95,0.0826,0.149,-2.627
Speak Now,Last Kiss,Taylor Swift,0.196,0.341,0.57,0.101,-9.475
Speak Now,Long Live,Taylor Swift,0.142,0.68,0.036,0.114,-4.3
Speak Now,Ours,Taylor Swift,0.238,0.569,0.537,0.097,-7.227
Speak Now,If This Was A Movie,Taylor Swift,0.289,0.719,0.166,0.34,-3.457
Speak Now,Superman,Taylor Swift,0.559,0.765,0.0268,0.103,-3.648
Red,State Of Grace,Taylor Swift,0.397,0.825,0.000197,0.0885,-5.882
Red,Red,Taylor Swift,0.641,0.896,0.0773,0.091,-4.267
Red,Treacherous,Taylor Swift,0.395,0.621,0.101,0.147,-8.086
Red,I Knew You Were Trouble,Taylor Swift,0.679,0.469,0.00454,0.0398,-6.798
Red,All Too Well,Taylor Swift,0.337,0.609,0.0382,0.127,-7.803
Red,22,Taylor Swift,0.668,0.729,0.00215,0.0752,-6.561
Red,I Almost Do,Taylor Swift,0.233,0.481,0.0173,0.182,-7.357
Red,We Are Never Ever Getting Back Together,Taylor Swift,0.75,0.676,0.00957,0.102,-5.911
Red,Stay Stay Stay,Taylor Swift,0.928,0.748,0.307,0.09,-6.67
Red,The Last Time,Taylor Swift,0.123,0.443,0.035,0.0921,-7.039
Red,Holy Ground,Taylor Swift,0.648,0.816,0.0162,0.0966,-6.698
Red,Sad Beautiful Tragic,Taylor Swift,0.261,0.34,0.632,0.121,-12.411
Red,The Lucky One,Taylor Swift,0.545,0.499,0.0371,0.132,-7.675
Red,Everything Has Changed,Taylor Swift,0.436,0.458,0.36,0.303,-6.755
Red,Starlight,Taylor Swift,0.587,0.777,0.0213,0.221,-5.804
Red,Begin Again,Taylor Swift,0.323,0.526,0.199,0.232,-8.349
Red,The Moment I Knew,Taylor Swift,0.275,0.506,0.187,0.102,-7.327
Red,Come Back...Be Here,Taylor Swift,0.217,0.548,0.00471,0.0997,-6.291
Red,Girl At Home,Taylor Swift,0.633,0.59,0.272,0.136,-5.86
Red,Treacherous (Original Demo Recording),Taylor Swift,0.519,0.64,0.175,0.0996,-8.248
Red,Red (Original Demo Recording),Taylor Swift,0.637,0.902,0.113,0.0722,-4.659
Red,State Of Grace (Acoustic Version),Taylor Swift,0.0682,0.118,0.664,0.127,-15.91
Red (Taylor's Version),State Of Grace (Taylor's Version),Taylor Swift,0.328,0.713,0.000328,0.114,-5.314
Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,0.408,0.777,0.00108,0.0761,-4.908
Red (Taylor's Version),Treacherous (Taylor's Version),Taylor Swift,0.299,0.593,0.0344,0.13,-6.506
Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),Taylor Swift,0.767,0.557,0.0129,0.0576,-6.371
Red (Taylor's Version),All Too Well (Taylor's Version),Taylor Swift,0.132,0.528,0.0171,0.234,-7.809
Red (Taylor's Version),22 (Taylor's Version),Taylor Swift,0.642,0.695,0.000443,0.0753,-5.62
Red (Taylor's Version),I Almost Do (Taylor's Version),Taylor Swift,0.248,0.559,0.0167,0.113,-6.587
Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,0.716,0.686,0.0317,0.0732,-6.139
Red (Taylor's Version),Stay Stay Stay (Taylor's Version),Taylor Swift,0.663,0.681,0.0848,0.0768,-7.039
Red (Taylor's Version),The Last Time (Taylor's Version),Taylor Swift,0.155,0.534,0.0399,0.0977,-5.954
Red (Taylor's Version),Holy Ground (Taylor's Version),Taylor Swift,0.511,0.809,0.0288,0.109,-5.623
Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),Taylor Swift,0.232,0.406,0.622,0.133,-11.827
Red (Taylor's Version),The Lucky One (Taylor's Version),Taylor Swift,0.538,0.571,0.066,0.0608,-7.138
Red (Taylor's Version),Everything Has Changed (Taylor's Version),Taylor Swift,0.474,0.61,0.271,0.223,-5.098
Red (Taylor's Version),Starlight (Taylor's Version),Taylor Swift,0.605,0.685,0.00324,0.18,-5.864
Red (Taylor's Version),Begin Again (Taylor's Version),Taylor Swift,0.267,0.527,0.075,0.132,-7.673
Red (Taylor's Version),The Moment I Knew (Taylor's Version),Taylor Swift,0.208,0.402,0.0494,0.107,-7.855
Red (Taylor's Version),Come Back...Be Here (Taylor's Version),Taylor Swift,0.399,0.632,0.0158,0.0822,-6.031
Red (Taylor's Version),Girl At Home (Taylor's Version),Taylor Swift,0.612,0.736,0.00955,0.101,-6.974
Red (Taylor's Version),State Of Grace (Acoustic Version) [Taylor's Version],Taylor Swift,0.101,0.131,0.663,0.108,-13.778
Red (Taylor's Version),Ronan (Taylor's Version),Taylor Swift,0.38,0.279,0.661,0.193,-10.802
Red (Taylor's Version),Better Man (Taylor's Version) [From The Vault],Taylor Swift,0.255,0.579,0.214,0.0877,-5.824
Red (Taylor's Version),Nothing New (Taylor's Version) [From The Vault],Taylor Swift,0.446,0.377,0.817,0.154,-9.455
Red (Taylor's Version),Babe (Taylor's Version) [From The Vault],Taylor Swift,0.746,0.743,0.0538,0.121,-7.075
Red (Taylor's Version),Message In A Bottle (Taylor's Version) [From The Vault],Taylor Swift,0.494,0.791,0.00188,0.083,-6.106
Red (Taylor's Version),I Bet You Think About Me (Taylor's Version) [From The Vault],Taylor Swift,0.473,0.715,0.167,0.183,-4.516
Red (Taylor's Version),Forever Winter (Taylor's Version) [From The Vault],Taylor Swift,0.41,0.552,0.256,0.134,-5.828
Red (Taylor's Version),Run (Taylor's Version) [From The Vault],Taylor Swift,0.443,0.488,0.817,0.312,-6.918
Red (Taylor's Version),The Very First Night (Taylor's Version) [From The Vault],Taylor Swift,0.581,0.733,0.00115,0.104,-5.025
Red (Taylor's Version),All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,0.205,0.518,0.274,0.088,-8.771
1989,Welcome To New York,Taylor Swift,0.658,0.634,0.0348,0.302,-4.762
1989,Blank Space,Taylor Swift,0.57,0.703,0.103,0.0913,-5.412
1989,Style,Taylor Swift,0.487,0.791,0.00245,0.118,-5.595
1989,Out Of The Woods,Taylor Swift,0.338,0.841,0.000743,0.341,-6.937
1989,All You Had To Do Was Stay,Taylor Swift,0.539,0.725,0.00201,0.101,-5.729
1989,Shake It Off,Taylor Swift,0.942,0.8,0.0647,0.334,-5.384
1989,I Wish You Would,Taylor Swift,0.513,0.893,0.0158,0.102,-5.966
1989,Bad Blood,Taylor Swift,0.287,0.794,0.0885,0.201,-6.104
1989,Wildest Dreams,Taylor Swift,0.465,0.688,0.0692,0.106,-7.416
1989,How You Get The Girl,Taylor Swift,0.545,0.656,0.00364,0.0918,-6.112
1989,This Love,Taylor Swift,0.107,0.435,0.678,0.0928,-8.795
1989,I Know Places,Taylor Swift,0.495,0.755,0.245,0.178,-4.991
1989,Clean,Taylor Swift,0.211,0.377,0.232,0.1,-7.754
1989,Wonderland,Taylor Swift,0.197,0.692,0.0493,0.177,-5.447
1989,You Are In Love,Taylor Swift,0.319,0.48,0.707,0.0903,-8.894
1989,New Romantics,Taylor Swift,0.584,0.889,0.00463,0.0658,-5.87
reputation,...Ready For It?,Taylor Swift,0.417,0.764,0.0527,0.197,-6.509
reputation,End Game,Taylor Swift,0.151,0.589,0.00845,0.108,-6.237
reputation,I Did Something Bad,Taylor Swift,0.305,0.602,0.0679,0.0696,-6.156
reputation,Don't Blame Me,Taylor Swift,0.193,0.534,0.106,0.0607,-6.719
reputation,Delicate,Taylor Swift,0.0499,0.404,0.216,0.0911,-10.178
reputation,Look What You Made Me Do,Taylor Swift,0.506,0.709,0.204,0.126,-6.471
reputation,So It Goes...,Taylor Swift,0.374,0.61,0.122,0.13,-7.283
reputation,Gorgeous,Taylor Swift,0.451,0.535,0.0713,0.213,-6.684
reputation,Getaway Car,Taylor Swift,0.351,0.689,0.00465,0.0888,-6.745
reputation,King Of My Heart,Taylor Swift,0.314,0.703,0.00882,0.0391,-7.902
reputation,Dancing With Our Hands Tied,Taylor Swift,0.284,0.691,0.0604,0.138,-6.686
reputation,Dress,Taylor Swift,0.0851,0.469,0.0329,0.169,-8.792
reputation,This Is Why We Can't Have Nice Things,Taylor Swift,0.438,0.789,0.0156,0.382,-5.986
reputation,Call It What You Want,Taylor Swift,0.252,0.504,0.186,0.34,-9.874
reputation,New Year's Day,Taylor Swift,0.23,0.151,0.921,0.13,-12.864
Lover,I Forgot That You Existed,Taylor Swift,0.541,0.316,0.298,0.0812,-10.345
Lover,Cruel Summer,Taylor Swift,0.564,0.702,0.117,0.105,-5.707
Lover,Lover,Taylor Swift,0.453,0.543,0.492,0.118,-7.582
Lover,The Man,Taylor Swift,0.633,0.658,0.0767,0.0901,-5.191
Lover,The Archer,Taylor Swift,0.166,0.574,0.12,0.0663,-9.375
Lover,I Think He Knows,Taylor Swift,0.416,0.366,0.00889,0.0715,-8.029
Lover,Miss Americana & The Heartbreak Prince,Taylor Swift,0.487,0.747,0.028,0.138,-6.926
Lover,Paper Rings,Taylor Swift,0.865,0.719,0.0129,0.0742,-6.553
Lover,Cornelia Street,Taylor Swift,0.248,0.624,0.781,0.1,-9.728
Lover,Death By A Thousand Cuts,Taylor Swift,0.313,0.732,0.454,0.319,-6.754
Lover,London Boy,Taylor Swift,0.557,0.71,0.0246,0.133,-6.639
Lover,Soon You'll Get Better,Taylor Swift,0.421,0.182,0.907,0.123,-12.566
Lover,False God,Taylor Swift,0.351,0.32,0.736,0.111,-10.862
Lover,You Need To Calm Down,Taylor Swift,0.714,0.671,0.00929,0.0637,-5.617
Lover,Afterglow,Taylor Swift,0.399,0.449,0.13,0.114,-8.746
Lover,ME!,Taylor Swift,0.728,0.83,0.033,0.118,-4.105
Lover,It's Nice To Have A Friend,Taylor Swift,0.545,0.175,0.971,0.171,-9.912
Lover,Daylight,Taylor Swift,0.265,0.496,0.808,0.0772,-9.602
folklore,the 1,Taylor Swift,0.163,0.361,0.75,0.108,-6.942
folklore,cardigan,Taylor Swift,0.534,0.58,0.525,0.26,-8.572
folklore,the last great american dynasty,Taylor Swift,0.701,0.653,0.481,0.106,-8.558
folklore,exile,Taylor Swift,0.16,0.374,0.761,0.11,-8.464
folklore,my tears ricochet,Taylor Swift,0.112,0.265,0.814,0.0679,-10.663
folklore,mirrorball,Taylor Swift,0.347,0.417,0.686,0.0604,-10.064
folklore,seven,Taylor Swift,0.374,0.494,0.888,0.0902,-10.813
folklore,august,Taylor Swift,0.42,0.634,0.553,0.0931,-9.222
folklore,this is me trying,Taylor Swift,0.408,0.478,0.312,0.147,-9.837
folklore,illicit affairs,Taylor Swift,0.44,0.304,0.862,0.108,-10.567
folklore,invisible string,Taylor Swift,0.454,0.459,0.859,0.105,-11.128
folklore,mad woman,Taylor Swift,0.451,0.7,0.67,0.116,-9.016
folklore,epiphany,Taylor Swift,0.103,0.254,0.727,0.0867,-13.679
folklore,betty,Taylor Swift,0.476,0.376,0.589,0.0989,-8.767
folklore,peace,Taylor Swift,0.328,0.284,0.916,0.0909,-12.879
folklore,hoax,Taylor Swift,0.404,0.178,0.964,0.135,-15.01
folklore,the lakes,Taylor Swift,0.268,0.258,0.842,0.0948,-11.532
evermore,willow,Taylor Swift,0.529,0.574,0.833,0.145,-9.195
evermore,champagne problems,Taylor Swift,0.32,0.24,0.92,0.113,-12.077
evermore,gold rush,Taylor Swift,0.353,0.462,0.83,0.121,-10.491
evermore,'tis the damn season,Taylor Swift,0.348,0.434,0.735,0.105,-8.193
evermore,tolerate it,Taylor Swift,0.221,0.361,0.878,0.0797,-10.381
evermore,"no body, no crime",Taylor Swift,0.535,0.613,0.418,0.103,-7.589
evermore,happiness,Taylor Swift,0.211,0.334,0.87,0.114,-10.733
evermore,dorothea,Taylor Swift,0.354,0.488,0.696,0.129,-8.322
evermore,coney island,Taylor Swift,0.292,0.537,0.819,0.142,-11.266
evermore,ivy,Taylor Swift,0.535,0.545,0.855,0.0921,-9.277
evermore,cowboy like me,Taylor Swift,0.511,0.517,0.768,0.123,-9.014
evermore,long story short,Taylor Swift,0.573,0.73,0.66,0.0972,-7.704
evermore,marjorie,Taylor Swift,0.287,0.561,0.876,0.115,-11.609
evermore,closure,Taylor Swift,0.92,0.704,0.835,0.134,-10.813
evermore,evermore,Taylor Swift,0.32,0.27,0.937,0.111,-10.673
evermore,right where you left me,Taylor Swift,0.645,0.619,0.769,0.117,-6.524
evermore,it's time to go,Taylor Swift,0.416,0.41,0.801,0.09,-12.426
Midnights,Lavender Haze,Taylor Swift,0.0984,0.444,0.204,0.17,-10.519
Midnights,Maroon,Taylor Swift,0.0382,0.378,0.0593,0.0976,-8.3
Midnights,Anti-Hero,Taylor Swift,0.519,0.634,0.133,0.152,-6.582
Midnights,Snow On The Beach,Taylor Swift,0.154,0.323,0.735,0.116,-13.425
Midnights,"You're On Your Own, Kid",Taylor Swift,0.376,0.38,0.416,0.126,-10.307
Midnights,Midnight Rain,Taylor Swift,0.23,0.377,0.71,0.115,-11.721
Midnights,Question...?,Taylor Swift,0.112,0.502,0.226,0.297,-8.777
Midnights,Vigilante Shit,Taylor Swift,0.16,0.279,0.16,0.121,-11.134
Midnights,Bejeweled,Taylor Swift,0.412,0.55,0.0661,0.091,-9.13
Midnights,Labyrinth,Taylor Swift,0.141,0.313,0.791,0.124,-15.434
Midnights,Karma,Taylor Swift,0.106,0.622,0.074,0.594,-7.054
Midnights,Sweet Nothing,Taylor Swift,0.396,0.161,0.967,0.115,-14.875
Midnights,Mastermind,Taylor Swift,0.13,0.352,0.571,0.0884,-14.077
Midnights,The Great War,Taylor Swift,0.554,0.741,0.219,0.0842,-8.987
Midnights,Bigger Than The Whole Sky,Taylor Swift,0.068,0.235,0.826,0.115,-12.379
Midnights,Paris,Taylor Swift,0.345,0.509,0.112,0.137,-10.547
Midnights,High Infidelity,Taylor Swift,0.755,0.529,0.723,0.0885,-10.179
Midnights,Glitch,Taylor Swift,0.347,0.466,0.361,0.11,-9.738
Midnights,"Would've, Could've, Should've",Taylor Swift,0.55,0.84,0.43,0.146,-6.508
Midnights,Dear Reader,Taylor Swift,0.159,0.388,0.481,0.117,-12.088
